cliente,total_facturado,factura_promedio,factura_max,factura_min,cantidad_facturas
Gerardo Quintero,699232.0,233077.33333333334,281731.0,201473.0,3
Andrés Contreras,698493.2,174623.3,231835.0,98466.2,4
David Jorge Ibarra,697652.0,139530.4,177398.0,107439.0,5
María Salazar,697265.9,139453.18,212808.0,51137.9,5
Leidy Karol Moreno Castellanos,696588.3,99512.6142857143,177245.0,45902.3,7
Juan Salamanca Quiroga,695835.0,139167.0,248840.0,83043.2,5
Antonio Luis Rodríguez Caballero,695556.4,139111.28,223699.0,78839.8,5
Blanca Magnolia Quintero Nieto,695205.3,139041.06,205262.0,76693.3,5
Isabel María Lara Cruz,693008.0,173252.0,250221.0,106364.0,4
Lizeth Cardozo Moreno,692985.7,138597.13999999998,212404.0,84124.7,5
Luis Luis Toro Suárez,692877.4,98982.48571428572,211611.0,55498.4,7
Brayan Ferney Díaz García,692298.2,86537.275,121285.0,40021.0,8
Fernanda Dayana Suárez,691164.1,138232.82,191589.0,75907.1,5
  Carlos Luis Durán Muñoz  ,690780.0,172695.0,250092.0,112614.0,4
Andrés Montes Camargo,690547.2,172636.8,261639.0,71709.2,4
Ana Sánchez Portilla,690448.8,172612.2,249802.0,88689.8,4
David Durán,690265.7,172566.425,268901.0,94721.7,4
Alicia Chávez,689122.5,172280.625,295104.0,88910.5,4
Sofía Torres Pérez,688653.2,114775.53333333333,132040.0,99648.2,6
Kevin Muñoz Cortés,688409.2,137681.84,217462.0,79494.2,5
Andrés David Murillo Barrera,687157.1,114526.18333333333,213169.0,62500.0,6
Javier Francisco Bernal,684225.0,171056.25,258166.0,114056.0,4
Valentina Ortiz Villamizar,684144.0,171036.0,239185.0,109436.0,4
Steven Castillo,683278.0,170819.5,255064.0,115760.0,4
María León,682790.6,170697.65,245884.0,98058.6,4
Mauricio Torres,682029.6,136405.91999999998,240090.0,98402.6,5
Alfonso Eduardo Alzate Mesa,681066.0,170266.5,270414.0,83587.0,4
Alicia Yepes Montoya,680831.7,170207.925,233177.0,89494.7,4
Edith Gloria Ospino Contreras,680042.0,113340.33333333333,167525.0,84893.8,6
Yesenia Fabiola Osorio,677528.5,112921.41666666667,137917.0,93802.8,6
Juan Carlos Restrepo Torres,677360.5,135472.1,227850.0,78852.5,5
Yaneth María Ramírez,675078.7,135015.74,237267.0,74478.4,5
Kevin Jorge Ardila Nieto,674346.2,168586.55,293410.0,85523.2,4
Francisco Armando Bedoya,671175.5,134235.1,272514.0,80065.5,5
Manuel Gómez,670689.0,167672.25,201584.0,126796.0,4
Alejandra Mora Sánchez,669534.0,167383.5,212791.0,113031.0,4
Yury Ana Alzate Martínez,669491.9,111581.98333333334,199640.0,52265.8,6
Martha Gabriela Mosquera,668435.0,167108.75,221031.0,140193.0,4
Óscar Rendón Torres,667603.0,166900.75,215685.0,114863.0,4
Liceth Amparo Chacón Flórez,667389.0,222463.0,292591.0,126411.0,3
Mercedes Navarro,667071.0,166767.75,200281.0,88805.0,4
Isabel Leal Daza,666471.0,95210.14285714286,186649.0,34050.9,7
María Liliana Tovar,665133.3,133026.66,180096.0,51669.3,5
Luis José Espinosa Castro,665103.7,166275.925,241392.0,84956.1,4
Kevin Ortiz Castaño,664710.5,166177.625,264185.0,92978.5,4
Hernán Contreras Delgado,664421.0,166105.25,199658.0,140707.0,4
Mario Vargas Gómez,662243.9,132448.78,178766.0,70154.9,5
Andrés Carlos Suárez,661857.0,132371.4,181970.0,57394.0,5
Andrés Vera,661679.2,110279.86666666665,171242.0,35199.2,6
María Gómez Hernández,661138.0,132227.6,177929.0,77979.0,5
Fernanda Adriana Méndez,659933.0,164983.25,262478.0,102195.0,4
Adriana Cortés,658704.3,131740.86000000002,189386.0,92060.3,5
Karen Restrepo,658379.0,131675.8,166862.0,106637.0,5
Gloria Dary Becerra Morales,657641.0,164410.25,193035.0,132379.0,4
Abel Carlos Rodríguez Duarte,656518.9,164129.725,241358.0,97958.9,4
Carlos Acosta,655881.0,131176.2,168426.0,57884.0,5
Juan José Figueroa,654478.1,130895.62,197080.0,54618.1,5
Silvia Ruiz,653057.9,108842.98333333334,194866.0,74601.7,6
Antonio Gallego Martínez,650958.5,130191.7,222121.0,42151.3,5
  María Niño Figueroa  ,648965.7,108160.95,157786.0,81721.4,6
Luz Gallego,647749.0,161937.25,199782.0,131358.0,4
Fernando Rodríguez Salazar,647640.4,129528.08,183947.0,48285.4,5
Olga Monroy Álvarez,643017.2,160754.3,290694.0,98268.2,4
Gallego José Oviedo Rodríguez,642339.0,214113.0,271649.0,115471.0,3
Gloria Mena,640950.0,160237.5,249514.0,117556.0,4
Alexander Quintero,640917.6,106819.59999999999,158740.0,33375.0,6
Jean Diego Silva Sierra,640653.2,128130.63999999998,176989.0,86055.2,5
Wilson Muñoz,640020.0,213340.0,266698.0,149268.0,3
Daniela Marina Núñez Hernández,639152.9,127830.58,186161.0,39463.9,5
Liliana María Pinzón,638696.0,212898.66666666666,271423.0,119274.0,3
Erika Romero Mercado,638006.0,106334.33333333333,160624.0,52923.3,6
Tatiana Lozano,637912.1,212637.36666666667,297620.0,90668.1,3
Juan Sebastián Guevara Mora,637583.8,159395.95,296413.0,31054.8,4
Yamile Vera,637341.4,91048.77142857143,176318.0,-101330.0,7
Elena Camacho,637117.0,159279.25,196782.0,112457.0,4
Jesús Hurtado,636988.5,127397.7,177820.0,65436.5,5
María Marleny Barreto,636934.0,127386.8,191756.0,64450.0,5
Rosario Esther Orozco,636401.0,159100.25,215064.0,122119.0,4
Harold Andrés Oviedo,636305.9,106050.98333333334,237816.0,40087.3,6
Eduardo Fuentes,635763.0,211921.0,247300.0,173766.0,3
Carlos Pablo Rojas Castaño,633007.6,158251.9,249861.0,59739.8,4
Marcela Páez Vanegas,632890.8,126578.16,185825.0,90818.8,5
Yulieth Ruiz,632062.0,158015.5,179431.0,133023.0,4
Arturo Corredor Sánchez,630837.5,78854.6875,144032.0,42483.5,8
Andrea Camacho,629052.3,157263.075,286079.0,76399.3,4
Edison Ospina Pedraza,628284.5,125656.9,173772.0,90078.5,5
Benjamín Javier Fuentes Pérez,626659.0,156664.75,297873.0,95345.9,4
Candelaria Claudia Guerrero Gómez,625408.4,125081.68000000001,159869.0,75756.4,5
Judith Margarita Vargas Montenegro,624978.3,124995.66,199827.0,73511.3,5
Jhonatan Andrés Ruiz,624627.6,89232.51428571428,117309.0,56242.1,7
Luz Trujillo,624585.4,124917.08,160733.0,94574.4,5
Jairo Rodríguez Gutiérrez,624278.0,156069.5,239190.0,107838.0,4
Mercedes Ariza Rangel,623844.7,124768.93999999999,155758.0,92346.7,5
Luz Flor Torres Gutiérrez,621134.0,207044.66666666666,272665.0,166976.0,3
Fernando Juan Rodríguez Molina,620650.0,155162.5,233261.0,116669.0,4
Rosa Rojas,620231.6,124046.31999999999,195416.0,80918.1,5
Denis Peña Beltrán,618226.1,154556.525,203090.0,82448.1,4
Juan Prada,617215.5,154303.875,226952.0,98064.5,4
Javier Rivas,617049.0,154262.25,176330.0,111904.0,4
Gustavo Herrera Barrera,616971.0,154242.75,228341.0,118295.0,4
María Rosario Carvajal Maldonado,616411.4,123282.28,171608.0,57006.7,5
Carmen Valencia Moreno,616354.9,88050.7,138490.0,52848.0,7
Paula Marina Guerrero Flórez,616322.0,154080.5,235374.0,70312.0,4
María Esperanza Herrera Betancur,616240.0,154060.0,288766.0,95813.0,4
Julia Angélica Castañeda,615775.8,102629.3,159841.0,50595.3,6
Ferney William Fonseca Gómez,615310.4,153827.6,233669.0,92434.4,4
Yaneth Janeth Moreno Arango,615102.0,153775.5,209654.0,101829.0,4
Yuli Beatriz Gómez Martínez,613767.9,102294.65000000001,141590.0,50622.2,6
Katherine Cárdenas González,613250.9,122650.18000000001,220165.0,82181.0,5
Alexis Maicol Molina,611834.2,152958.55,199000.0,66474.2,4
Paula María Cantillo Sandoval,610903.6,122180.72,258065.0,51760.5,5
Ángel Alfonso Monsalve,610541.5,152635.375,295184.0,41126.5,4
Claudia Cristina García Jiménez,610275.0,203425.0,257904.0,121627.0,3
Enrique Castillo,609158.7,121831.73999999999,161112.0,75183.7,5
Esmeralda María Mejía Sánchez,608753.5,152188.375,227857.0,92346.5,4
Samuel Héctor Cruz,607760.6,151940.15,270163.0,62461.6,4
María Luz Álvarez Espitia,606642.6,121328.51999999999,146189.0,92199.6,5
Patricia Jenny Mosquera,605788.0,151447.0,168538.0,126379.0,4
Enith Constanza Pérez Ramírez,605509.9,151377.475,240828.0,85826.7,4
Graciela Fernández Ibarra,604101.0,151025.25,247459.0,105226.0,4
Cristina Melo Triana,603472.3,120694.46,167958.0,52348.3,5
Andrés José Moreno Mosquera,602729.5,150682.375,228383.0,74335.5,4
María María Herrera,602727.7,150681.925,173894.0,99703.7,4
Elizabeth Gómez Camacho,602097.0,200699.0,288500.0,114220.0,3
Camilo Márquez,601832.1,150458.025,294269.0,79216.0,4
Diana Parra Hernández,601089.0,200363.0,236441.0,144907.0,3
Mercedes Serrano,600193.8,100032.3,144568.0,55871.0,6
Rosa Cristina Ayala Sánchez,599910.0,199970.0,216231.0,190686.0,3
Olga García,598545.5,99757.58333333333,152350.0,56560.1,6
Carmen Lorena Páez,596432.0,149108.0,160572.0,135944.0,4
José Rodríguez Herrera,595739.0,198579.66666666666,272110.0,90984.0,3
Pedro López Agudelo,592622.0,148155.5,173079.0,127970.0,4
María Ballesteros,592330.1,98721.68333333333,172122.0,40409.6,6
Angélica Nohora Sánchez Montoya,591534.0,197178.0,240847.0,169119.0,3
Hernando Jaimes Gutiérrez,589891.8,196630.6,298683.0,91809.8,3
María Luz León,589887.8,147471.95,193455.0,48119.8,4
Hernán Alejandro Murillo Domínguez,589691.0,196563.66666666666,242798.0,140519.0,3
Daniel Correa,588767.7,98127.95,178815.0,65457.2,6
Antonio Andrés Orozco García,588048.0,117609.6,160350.0,83562.0,5
Ernesto Mauricio Ríos,587999.0,195999.66666666666,262050.0,146830.0,3
María Martha Orjuela,587719.6,146929.9,196074.0,98053.6,4
Marina Castillo Moreno,586058.0,146514.5,175938.0,110766.0,4
Jesús Orlando Guevara,584178.1,97363.01666666666,133507.0,72403.5,6
Daniel Bastidas,584018.3,146004.575,234688.0,66407.4,4
Guillermo Danny Rodríguez Vargas,583856.6,194618.86666666667,288445.0,97352.6,3
Andrés Mercado Sánchez,583755.0,194585.0,233340.0,119534.0,3
Fernando José Rivera Rosero,583411.0,145852.75,198890.0,110084.0,4
Amanda Paola García,582383.0,145595.75,172987.0,111849.0,4
  Ferney Jesús Salcedo  ,581676.0,193892.0,224836.0,171251.0,3
Cristina Ordóñez Fajardo,580469.1,116093.81999999999,201041.0,79219.7,5
Hernán Danny Salazar Murillo,579053.1,144763.275,217429.0,63038.1,4
Diana Sierra Pérez,577658.2,115531.63999999998,126079.0,85036.2,5
Andrés Arturo Ríos,577324.6,144331.15,183823.0,92658.6,4
Miguel Orjuela,577281.2,144320.3,273117.0,31936.2,4
Patricia Nelcy Muñoz,576734.0,192244.66666666666,262004.0,152415.0,3
Andrés Rodríguez Velásquez,576114.1,96019.01666666666,159248.0,53307.7,6
Vladimir Kevin Córdoba Peña,576064.0,192021.33333333334,289920.0,126217.0,3
Doris Maritza Acevedo Martínez,575936.0,191978.66666666666,245404.0,152975.0,3
Eliecer Edwin Luna Murillo,575602.9,95933.81666666667,154729.0,49977.1,6
Fernando Moreno Arias,574626.2,95771.03333333333,145349.0,72045.3,6
José José Arango,574392.0,143598.0,172117.0,113647.0,4
Julio Eduardo Salcedo,574268.9,143567.225,206383.0,79669.9,4
Paola Hurtado Quintero,573643.1,114728.62,227945.0,37838.5,5
Daniel Orjuela Bolívar,572603.0,143150.75,161601.0,119909.0,4
Alexandra Alejandra Jiménez,572243.0,95373.83333333333,267725.0,-258449.0,6
Gloria Márquez Trujillo,571937.0,190645.66666666666,233847.0,164868.0,3
Roberto Edisson Ramírez,571855.7,114371.13999999998,250098.0,62200.9,5
Eugenia Ángela Martínez,570314.0,190104.66666666666,245802.0,100827.0,3
Harol Carlos Loaiza Villamizar,570150.4,114030.08,155591.0,82377.7,5
Esteban Ramos,569205.6,142301.4,257025.0,65049.0,4
Vanessa Bautista,567559.3,113511.86000000002,163833.0,93185.5,5
Leonardo Emiro Vega,566861.7,113372.34,144932.0,51702.9,5
Luis Franco,565439.5,113087.9,177700.0,73245.4,5
Lucy Cardona Ocampo,564590.8,141147.7,219752.0,73168.8,4
Erika Gloria Barrera,564496.9,112899.38,258304.0,40447.2,5
Cielo Alba Meza,563702.9,187900.96666666667,245329.0,84271.9,3
Juan Gómez,563472.0,187824.0,252805.0,143350.0,3
Álvaro Carlos Giraldo Valencia,563436.6,112687.31999999999,146985.0,45066.6,5
Edinson Hernández,562092.8,140523.2,247583.0,84405.8,4
William Edier Valencia Ruiz,561988.0,187329.33333333334,258334.0,134998.0,3
Alicia Escobar,561551.0,140387.75,183999.0,102719.0,4
Jaime Enrique Rodríguez Silva,560860.0,186953.33333333334,203730.0,171914.0,3
Fabián Francisco Melo,560793.8,112158.76000000001,240597.0,32140.6,5
Esther Karen Ariza,559666.0,139916.5,163044.0,115579.0,4
Alexander Carlos Velásquez Mena,558641.8,139660.45,171388.0,81342.8,4
Eugenia Ana Ruiz Agudelo,558576.8,111715.36000000002,195362.0,71806.4,5
Emerson Jaime Ramos,558155.0,186051.66666666666,248162.0,142680.0,3
Fernando Emilio Durán Díaz,557582.5,111516.5,164624.0,90259.9,5
Victoria Gamboa,557572.7,139393.175,231555.0,46956.0,4
Luis Pérez,557151.0,185717.0,238799.0,157419.0,3
José Andrés Restrepo Díaz,556816.0,111363.2,141402.0,70983.4,5
Josefina Marlene Jaimes Mosquera,555474.0,138868.5,175157.0,87797.0,4
Jesús Padilla Rodríguez,555385.9,138846.475,218990.0,88802.9,4
Juliana Liliana Salas Aguirre,555317.4,185105.80000000002,235813.0,85684.4,3
Octavio Gómez Becerra,554911.0,184970.33333333334,229375.0,138297.0,3
Rafael Cardona Campo,554617.9,110923.58,218886.0,54582.4,5
Ramón Vega,554453.0,138613.25,185721.0,101889.0,4
Andrea Martha Rodríguez,554280.0,184760.0,205310.0,161424.0,3
Andrés Sánchez,554264.0,184754.66666666666,237354.0,123505.0,3
Andrés Molina Ramírez,554095.4,92349.23333333334,157126.0,72498.8,6
José Mendoza,552611.0,138152.75,163025.0,101877.0,4
Ever Diego Flórez,551587.0,183862.33333333334,232158.0,149397.0,3
David Pacheco Rodríguez,551043.8,91840.63333333335,121207.0,49513.2,6
Stella Paola Rojas Corredor,550367.5,137591.875,153268.0,92198.5,4
Esther Leidy Córdoba,549748.7,109949.73999999999,142139.0,49487.7,5
Eduardo Cifuentes,549585.4,183195.13333333333,243544.0,84959.4,3
Edwin Jhon Suárez Fernández,549281.2,109856.23999999999,298702.0,30797.0,5
Mercedes Andrade,548619.1,137154.775,174844.0,83141.1,4
Luz Patricia Chacón,548311.0,137077.75,191643.0,104975.0,4
Fredy Nieto,548304.1,137076.025,178953.0,93480.1,4
Bertha Díaz,548009.2,137002.3,212470.0,60529.2,4
María Rosa Alzate,547774.7,136943.675,197537.0,61247.7,4
Irma Manuela Triana,547306.1,54730.61,153593.0,-177304.0,10
Sergio Alberto Martínez López,546783.1,109356.62,152154.0,74671.3,5
Marcela Patricia González Rodríguez,542496.0,180832.0,203360.0,147392.0,3
Ever Fernando Prieto,542145.4,135536.35,228353.0,79934.1,4
Elizabeth Olga Romero Parra,541547.9,108309.58,179656.0,54553.3,5
Lina Martínez,540789.2,90131.53333333333,135934.0,62096.3,6
Fernanda Márquez,540704.3,108140.86000000002,139048.0,72885.5,5
Jesús Mosquera Mantilla,540648.0,135162.0,158482.0,100242.0,4
Beatriz Olga Martínez,539392.8,107878.56000000001,125785.0,73038.0,5
Nelson Juan Beltrán,538812.8,107762.56000000001,176189.0,74437.5,5
Bertha Claudia Henao Quintero,538570.0,179523.33333333334,222967.0,122404.0,3
Cristian Figueroa Guerrero,538456.3,134614.075,176947.0,59513.3,4
Yuly Carrillo Valencia,538296.0,134574.0,154166.0,126384.0,4
María Arias Montoya,538062.9,89677.15000000001,122244.0,61913.0,6
Dario Nicolás González,537770.0,134442.5,158341.0,109275.0,4
Alejandro Rangel Ojeda,535928.4,133982.1,193359.0,86959.4,4
Juan Castillo,535927.0,178642.33333333334,201951.0,158026.0,3
Mónica Eva Torres,535196.5,133799.125,189754.0,89159.6,4
Wilson Alberto Villa,534342.0,178114.0,218640.0,108512.0,3
Jhon Castro Camacho,532498.7,133124.675,206425.0,65911.6,4
Paola Torres,531900.8,88650.13333333335,108621.0,71730.5,6
Luis Mosquera,530730.0,176910.0,290920.0,111436.0,3
Dario Ariza Acevedo,530460.8,176820.2666666667,286673.0,81746.8,3
Luis Gómez,530371.1,106074.22,157505.0,49650.1,5
Karen Lorena Flórez Caicedo,530241.8,88373.63333333335,123141.0,45249.8,6
Johan Jorge Padilla,528851.7,105770.34,141911.0,81639.8,5
Alfonso David Acosta Contreras,528073.0,132018.25,176748.0,88448.0,4
Beatriz Patricia Sepúlveda Marín,526933.0,131733.25,146893.0,106866.0,4
Carmen Aguirre,526621.2,131655.3,210562.0,70614.2,4
Daniel Castillo,526129.3,131532.325,169048.0,82866.3,4
Andrea Rosalba Hurtado Ramos,525972.2,105194.43999999999,150007.0,69000.7,5
Lorenzo Erick Ávila Rivera,525542.3,175180.7666666667,282094.0,78053.3,3
María Ortiz Restrepo,525443.9,105088.78,175664.0,31565.9,5
Martha Sandra Calderón Hurtado,525355.7,175118.56666666665,298510.0,97114.7,3
Blanca Alexandra Fuentes Camacho,525288.3,131322.075,191839.0,87244.3,4
Mauricio Álvarez Ramírez,524891.7,74984.52857142857,119257.0,35365.8,7
Elena Murillo,523660.7,104732.14,165369.0,62357.4,5
Teresa Barreto García,523650.7,130912.675,230708.0,87838.0,4
Elizabeth María Ceballos,523552.6,130888.15,194910.0,73089.6,4
Ana Peña,522159.0,174053.0,211836.0,104075.0,3
Eugenia María Ospino Serrano,522064.80000000005,87010.8,129263.0,54650.6,6
Katerine Lucía Gómez Márquez,521565.0,130391.25,146979.0,103731.0,4
Mireya Sandoval,521128.8,130282.2,155533.0,84686.8,4
Elena Fonseca Forero,520985.0,173661.66666666666,259203.0,123095.0,3
Antonio Juan Vargas Duarte,520957.0,173652.33333333334,215581.0,120636.0,3
Rocío Miriam Sánchez,520950.1,130237.525,272466.0,49594.0,4
Eder Pedro Ibarra,520823.0,104164.6,131866.0,64593.4,5
Carmen Becerra,520797.9,130199.475,168222.0,90470.9,4
Socorro Gloria López,519431.5,103886.3,141253.0,73246.0,5
Mayerly Blanca Osorio Bejarano,518854.3,129713.575,188648.0,62958.3,4
Edwin Fernando Gómez,518218.6,129554.65,218603.0,72059.6,4
María Rodríguez Arango,517995.0,172665.0,249558.0,130774.0,3
María Delgado Castillo,517140.0,172380.0,187915.0,154878.0,3
Mireya Ruiz,516940.4,103388.08,165053.0,66469.5,5
Janeth Alejandra Arias,516711.0,103342.2,141236.0,64461.4,5
María Arango Arango,515888.0,171962.66666666666,228844.0,140369.0,3
María Caro,515434.0,171811.33333333334,227495.0,134984.0,3
Martha Vanessa Becerra Martínez,514733.0,171577.66666666666,184232.0,161027.0,3
Helena Roa,512524.9,128131.225,151563.0,88331.9,4
Johana Fernanda Quintero,511997.0,127999.25,186224.0,93208.0,4
Luis González,511410.3,102282.06,185240.0,38274.6,5
Sebastián Herrera Morales,511300.3,127825.075,160930.0,80794.3,4
Óscar Augusto Polo Tovar,509745.69999999995,101949.13999999998,149113.0,51026.4,5
Kevin García,506717.0,168905.66666666666,239018.0,118753.0,3
Elizabeth Ximena Betancur Blanco,506687.5,126671.875,155430.0,92793.5,4
Efrain David Bonilla,505117.9,101023.58,191454.0,43966.0,5
Jhon Sergio Suárez,504209.7,126052.425,169989.0,73860.7,4
Cecilia González,503949.9,100789.98000000001,129196.0,72173.0,5
Isabel Viviana Pineda,502693.0,167564.33333333334,192459.0,142493.0,3
Pablo Jiménez Alarcón,502492.2,125623.05,158637.0,92889.2,4
Pedro Parra Álvarez,502017.0,167339.0,227550.0,102600.0,3
Flor Bustos Vargas,501751.2,125437.8,228055.0,77343.2,4
Juan Franco Hurtado,501186.0,125296.5,206635.0,75557.3,4
Yenny Lorena Restrepo,500010.0,125002.5,138902.0,102556.0,4
Laura Bautista,498740.0,249370.0,279434.0,219306.0,2
Luis Alejandro Manrique Nieto,498694.3,166231.43333333332,234568.0,96536.3,3
Paula Elisa Castillo Espitia,497791.2,124447.8,175214.0,83664.2,4
Enrique Arrieta,496869.9,124217.475,250100.0,45355.0,4
Isabel Mery Cano López,496366.0,165455.33333333334,248386.0,110365.0,3
Gina Sánchez,496002.0,165334.0,178983.0,154577.0,3
Fredy Londoño,494562.1,98912.42,177856.0,36701.4,5
María Yamile Monsalve,490927.2,122731.8,243862.0,-50577.8,4
Fernanda Diana Cantillo,490519.6,122629.9,162559.0,99600.6,4
Luz Patricia Perdomo Suárez,489430.3,122357.575,148571.0,77629.3,4
Alejandro Henry González,488528.0,162842.66666666666,231820.0,123325.0,3
María Graciela Martínez Vargas,487246.9,121811.725,152589.0,89217.4,4
Mery Jiménez Caballero,487245.6,121811.4,208703.0,44455.9,4
Juan Jhon Martínez,486698.0,162232.66666666666,242126.0,113157.0,3
  Andrés Sandoval  ,486282.0,162094.0,216730.0,60152.0,3
Marcela Muñoz Acosta,485971.0,121492.75,152409.0,93452.0,4
Anderson Mendoza Corredor,485557.7,97111.54000000001,148955.0,59354.4,5
Yina Romero Aguirre,485190.5,97038.1,154859.0,40851.4,5
Beatriz Bravo Velásquez,485155.3,121288.825,187912.0,34521.3,4
Luis Martínez Silva,483382.4,120845.6,142270.0,91687.4,4
Esther Caicedo Moreno,482639.0,241319.5,244522.0,238117.0,2
María Rosa Gutiérrez Sanabria,482580.1,160860.03333333333,295041.0,87270.1,3
María Caicedo,481490.0,160496.66666666666,211315.0,133887.0,3
Edisson Ospina,480886.6,160295.53333333333,214039.0,98942.6,3
Leandro Monroy,479689.3,95937.86,145163.0,51953.9,5
Edilberto Ferney Rodríguez Mendoza,479686.0,119921.5,217072.0,68852.5,4
María Margarita Camacho,479439.0,159813.0,220338.0,100054.0,3
Robinson Caro Ortiz,478869.0,159623.0,184431.0,127577.0,3
Javier Rojas,478148.4,159382.80000000002,218675.0,76144.4,3
Diana Ramírez,477904.6,119476.15,147005.0,91480.6,4
Mónica Pérez,477753.1,95550.62,220849.0,39080.0,5
Inés Ávila,477667.3,119416.825,159446.0,82622.3,4
Liliana Pérez Ramírez,477415.6,159138.53333333333,286432.0,91974.1,3
Jorge César Monroy,474427.9,118606.975,214312.0,51074.3,4
Robinson Ardila Giraldo,474323.0,158107.66666666666,202907.0,127982.0,3
Deiby Ortiz,473438.0,157812.66666666666,229475.0,118616.0,3
Ismael Ángel Delgado,473325.0,157775.0,187331.0,138948.0,3
Esteban Fidel Monsalve Ruiz,472768.8,94553.76,136801.0,52193.5,5
Jaider Edwin Barrera Álvarez,472565.4,118141.35,146465.0,83538.4,4
Johanna Blanca Méndez,472257.5,118064.375,153986.0,90666.5,4
Lilia López Torres,471707.9,117926.975,178358.0,72946.9,4
Adriana Rivas,470705.0,156901.66666666666,177394.0,126733.0,3
Alberto Díaz,470534.0,156844.66666666666,200226.0,103453.0,3
Yazmín Hoyos Garcés,470263.0,156754.33333333334,193187.0,99601.0,3
Estela Nohora Salamanca Villegas,468347.5,117086.875,141897.0,75116.5,4
Daniel Pinto,467370.0,155790.0,205721.0,120659.0,3
Judith Monroy,467344.1,116836.025,166152.0,40580.1,4
Alonso Milton Giraldo,466748.5,93349.7,122850.0,67648.7,5
Francisco Pablo Valencia Jiménez,466719.9,116679.975,161017.0,61633.2,4
Raúl Alberto Barbosa,466326.0,155442.0,189063.0,109047.0,3
Felipe Cerón,465833.7,93166.74,147231.0,69647.3,5
Elena Zambrano Obando,465341.4,116335.35,197676.0,76037.0,4
Julián Rodríguez,465121.1,116280.275,179262.0,43752.1,4
María María Chávez,464501.8,116125.45,235593.0,33306.4,4
Alicia Milena Díaz Díaz,464435.3,116108.825,185624.0,58495.7,4
Nancy Gómez,464047.9,116011.975,159288.0,90921.1,4
Cecilia Martínez,463275.2,154425.06666666668,240185.0,81256.2,3
Antonio Guevara,462992.0,231496.0,295963.0,167029.0,2
Jesús José García Lozano,462823.0,154274.33333333334,193331.0,113793.0,3
María Sofía Medina,462763.0,154254.33333333334,183793.0,131794.0,3
Lizeth Arias Soto,462661.0,154220.33333333334,204795.0,121623.0,3
Mario Lozano,462376.0,154125.33333333334,187803.0,112593.0,3
Adriana Alejandra Vargas Ortiz,462039.0,154013.0,190006.0,132669.0,3
Argemiro Suárez,461845.0,230922.5,266411.0,195434.0,2
Alfredo Carlos Vélez Rendón,460379.2,115094.8,124863.0,91611.2,4
Álvaro Mauricio Gaviria,460353.5,115088.375,157962.0,52226.2,4
Diego Arias,460132.8,92026.56,132050.0,51124.9,5
Fernando Alexander Jaimes,459262.0,229631.0,293647.0,165615.0,2
Dario Loaiza Murcia,459125.0,229562.5,280961.0,178164.0,2
Emiro Mosquera Zapata,458489.6,152829.86666666667,288722.0,59087.6,3
Francy Vargas Muñoz,458421.3,152807.1,217270.0,91897.3,3
Liliana María Osorio,458302.4,114575.6,128651.0,99062.4,4
Cristobal Ortega Hernández,457326.0,152442.0,187912.0,129414.0,3
Jaime Álvarez,456286.4,114071.6,235035.0,55640.9,4
Tulio Alejandro Mosquera Bermúdez,456099.0,228049.5,282774.0,173325.0,2
Tatiana Camargo,456002.2,152000.73333333334,239595.0,96893.2,3
Ester Álvarez Restrepo,455550.0,151850.0,176171.0,133976.0,3
Alexander Muñoz,455148.0,151716.0,165433.0,142341.0,3
Ana Mendoza,454429.5,113607.375,164971.0,70674.2,4
Fernando Estrada,453908.0,151302.66666666666,172853.0,125258.0,3
Eduardo Mauricio Agudelo,453667.4,113416.85,143803.0,77341.6,4
  Gladys Romero Prieto  ,453335.8,113333.95,176623.0,59337.5,4
David José Mesa Silva,453309.9,90661.98000000001,123574.0,43502.4,5
Arley Pedro Vargas,453153.0,151051.0,197275.0,117181.0,3
Carolina Ortiz,453117.0,226558.5,261817.0,191300.0,2
José Albeiro Pardo,452147.0,150715.66666666666,171072.0,139009.0,3
Germán Carlos Guerrero Martínez,451833.9,112958.475,125468.0,90264.9,4
Jhon Moreno Henao,451063.0,150354.33333333334,186359.0,113457.0,3
María Esther Gómez Ramírez,450872.8,112718.2,163415.0,83565.2,4
Alejandro Enrique Vásquez,450467.0,150155.66666666666,170727.0,110648.0,3
Patricia Milena Rojas Gómez,450148.0,150049.33333333334,233022.0,101509.0,3
Javier Mosquera Sánchez,449736.9,112434.225,145038.0,70551.3,4
Adiela Yuri Daza,449727.5,112431.875,163256.0,68652.0,4
Robinson Sánchez Álvarez,449357.0,149785.66666666666,173287.0,127269.0,3
Isaías Aguilar,448505.2,89701.04000000001,148643.0,47115.7,5
Teresa Martha Salamanca Bedoya,446400.3,111600.075,161876.0,87313.7,4
Laura María Gómez,446383.4,74397.23333333334,140636.0,33975.5,6
Ariel Londoño,446137.0,111534.25,158533.0,91972.0,4
Enrique Alexander Ramírez,445799.1,111449.775,156404.0,64313.1,4
María Lucía Jiménez,445779.0,148593.0,188671.0,124132.0,3
Alexander Alejandro González Ortega,445778.3,89155.66,126243.0,67698.7,5
Catalina Marta Bolaños Estrada,445555.8,111388.95,153275.0,65768.1,4
Carmen Ramos Perdomo,445314.0,148438.0,164772.0,134632.0,3
Graciela Fonseca,443964.0,221982.0,289822.0,154142.0,2
Elena Pérez,443825.4,110956.35,157395.0,66768.5,4
Antonio Jaramillo,443797.3,110949.325,167430.0,44771.3,4
